Lektion,Wort
15,"Hafen der, ¨-"
15,"Jugendherberge die, -n"
15,"Kindergarten der, ¨-"
15,"Kirche die, -n"
15,"Markt der, ¨-e"
15,"Park der, -s"
15,"Rathaus das, ¨-er"
15,"Schloss das, ¨-er"
15,"Spielplatz der, ¨-e"
15,"Turm der, ¨-e"
15,"Ausländer der, -"
15,"Blick der, -e"
15,"Mensch der, -en"
15,"Reisebüro das, -s"
15,"Rezept das, -e"
15,Urlaub der
15,Wetter das
15,"danken, hat gedankt"
15,"fehlen, hat gefehlt"
15,"gehören, hat gehört"
15,wichtig
15,alle
15,wenig
15,zu Hause
16,"Aufzug der, ¨-e"
16,"Dusche die, -n"
16,"Fernseher der, -"
16,"Föhn der, -e / -s"
16,"Gast der, ¨-e"
16,"Handtuch das, ¨-er"
16,"Heizung die, -en"
16,"Klimaanlage die, -n"
16,"Verbindung die, -en"
16,die Internetverbindung
16,"Wecker der, -"
16,Bescheid sagen
16,Hilfe rufen
16,"bringen, hat gebracht"
16,"funktionieren, hat funktioniert"
16,"kümmern, hat gekümmert"
16,"reparieren, hat repariert"
16,"schicken (einen Techniker/...), hat geschickt"
16,kaputt
16,sofort
16,Lust die
16,Lust haben
16,"Termine ab·sagen, hat abgesagt"
16,"vereinbaren, hat vereinbart"
16,"verschieben, hat verschoben"
16,"passen, hat gepasst"
16,Passt es dir/Ihnen?
16,pünktlich
16,"Angst die, ¨-e"
16,Angst haben
16,"Kurs der, -e (Tanz-/Spanischkurs)"
16,Leben das
16,"Sitzung die, -en"
16,"Stunde die, -n"
16,die halbe Stunde
16,"aus·machen, hat ausgemacht"
16,"kennen·lernen, hat kennengelernt"
16,"mit·nehmen, hat mitgenommen"
16,"tun, hat getan"
16,"warten, hat gewartet"
16,dumm
16,Wie dumm!
16,kalt
16,lustig
16,seltsam
16,sicher
16,nichts
16,selbst
16,Sehr geehrte / Sehr geehrter
16,Mit freundlichen Grüßen
17,"Ausbildung die, -en"
17,Ausland das
17,"Chance die, -n"
17,"Fremdsprache die, -n"
17,Geld das
17,"Politiker der, -"
17,"Prüfung die, -en"
17,"eine Prüfung schaffen, hat geschafft"
17,"Sänger der, -"
17,"Sängerin die, -nen"
17,"Star der, -s"
17,"ab·schließen, hat abgeschlossen"
17,eine Ausbildung abschließen
17,"an·melden, hat angemeldet"
17,"verdienen, hat verdient"
17,"werden, du wirst, er wird, ist geworden"
17,"wollen, ich will, du willst, er will, hat gewollt"
17,unbedingt
17,auf keinen Fall
17,Europa (das)
17,"Führerschein den, -e"
17,"Instrument das, -e"
17,"Kreditkarte die, -n"
17,"Lied das, -er"
17,"Motorrad das, ¨-er"
17,Welt die
17,"Wunsch den, ¨-e"
17,"heiraten, hat geheiratet"
17,"laufen, du läufst, er läuft, ist gelaufen"
17,"reisen, ist gereist"
17,"putzen, hat geputzt"
17,ohne
18,"Apotheke die, -n"
18,"Doktor der, -en"
18,Fieber das
18,Husten der
18,"Medikament das, -e"
18,Medizin die
18,"Pflaster das, -"
18,"Praxis die, Praxen"
18,"Rezept das, -e"
18,"Salbe die, -n"
18,"Schmerz der, -en"
18,Schnupfen der
18,"Tablette die, -n"
18,"husten, hat gehustet"
18,"weh·tun, hat wehgetan"
18,gesund
18,krank
18,"Arm der, -e"
18,"Auge das, -n"
18,"Bauch der, ¨-e"
18,"Bein das, -e"
18,"Brust die, ¨-e"
18,"Finger der, -"
18,"Fuß der, ¨-e"
18,"Hals der, ¨-e"
18,"Hand die, ¨-e"
18,"Knie das, -"
18,"Kopf der, ¨-e"
18,"Nase die, -n"
18,"Mund der, ¨-er"
18,"Ohr das, -en"
18,"Rücken der, -"
18,"Zahn der, ¨-e"
18,"bleiben, ist geblieben"
18,"geben, du gibst, er gibt, hat gegeben"
18,"sollen, ich soll, du sollst, er soll"
18,hoch
18,doch
18,gegen
